contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260407C00634000,2026-04-07 16:49:36+00:00,634.0,22.46,22.64,22.91,-2.2300014,-9.032002,36.0,544,0.6335485864257813,True,REGULAR,USD
SPY260407C00635000,2026-04-07 17:40:12+00:00,635.0,22.23,21.61,21.92,-1.7000008,-7.1040564,28.0,626,0.6120644262695314,True,REGULAR,USD
SPY260407C00636000,2026-04-07 17:44:21+00:00,636.0,20.79,20.59,20.88,-1.7799988,-7.88657,66.0,310,0.5883830224609375,True,REGULAR,USD
SPY260407C00637000,2026-04-07 17:39:24+00:00,637.0,20.46,19.75,19.9,-0.9200001,-4.3030877,30.0,431,0.57812921875,True,REGULAR,USD
SPY260407C00638000,2026-04-07 15:55:12+00:00,638.0,16.0,18.57,18.87,-4.6100006,-22.367785,41.0,219,0.5456588403320313,True,REGULAR,USD
SPY260407C00639000,2026-04-07 18:14:39+00:00,639.0,17.58,17.57,17.74,-2.0200005,-10.306125,194.0,400,0.51758294921875,True,REGULAR,USD
SPY260407C00640000,2026-04-07 18:19:50+00:00,640.0,16.82,16.58,16.82,-2.1900005,-11.61188,388.0,1029,0.5017139672851563,True,REGULAR,USD
SPY260407C00641000,2026-04-07 18:05:39+00:00,641.0,16.07,15.58,15.88,-1.9200001,-10.672596,46.0,484,0.49927258544921876,True,REGULAR,USD
SPY260407C00642000,2026-04-07 17:00:32+00:00,642.0,14.75,14.58,14.89,-2.0200005,-12.045321,297.0,882,0.47852083984375,True,REGULAR,USD
SPY260407C00643000,2026-04-07 17:35:10+00:00,643.0,14.0,13.58,13.9,-1.6000004,-10.256412,1423.0,460,0.45740288696289066,True,REGULAR,USD
SPY260407C00644000,2026-04-07 17:57:29+00:00,644.0,12.69,12.62,12.74,-2.3000002,-15.343564,3216.0,1044,0.4193173303222656,True,REGULAR,USD
SPY260407C00645000,2026-04-07 18:18:42+00:00,645.0,11.56,11.59,11.95,-2.5899992,-18.30388,6841.0,903,0.41687594848632803,True,REGULAR,USD
SPY260407C00646000,2026-04-07 18:19:01+00:00,646.0,10.82,10.65,10.94,-2.0300007,-15.797669,7080.0,708,0.39258419921875,True,REGULAR,USD
SPY260407C00647000,2026-04-07 18:18:56+00:00,647.0,9.7,9.6,9.9,-2.54,-20.751635,8221.0,823,0.36524072265625,True,REGULAR,USD
SPY260407C00648000,2026-04-07 18:09:43+00:00,648.0,8.46,8.59,8.96,-2.4799995,-22.669102,8796.0,456,0.3464420825195312,True,REGULAR,USD
SPY260407C00649000,2026-04-07 18:15:41+00:00,649.0,7.5,7.6,7.93,-2.5100002,-25.074928,9173.0,1204,0.3188544677734374,True,REGULAR,USD
SPY260407C00650000,2026-04-07 18:15:41+00:00,650.0,6.5,6.61,6.89,-2.79,-30.032293,17271.0,1762,0.28992409301757804,True,REGULAR,USD
SPY260407C00651000,2026-04-07 18:19:04+00:00,651.0,5.87,5.65,5.86,-2.5299997,-30.119045,29957.0,966,0.2611157873535156,True,REGULAR,USD
SPY260407C00652000,2026-04-07 18:19:01+00:00,652.0,4.85,4.8,4.92,-2.58,-34.72409,72989.0,794,0.23828886718749998,True,REGULAR,USD
SPY260407C00653000,2026-04-07 18:19:22+00:00,653.0,3.83,3.93,3.97,-2.77,-41.969696,137688.0,1455,0.21289849609375,True,REGULAR,USD
SPY260407C00654000,2026-04-07 18:19:43+00:00,654.0,3.07,3.05,3.08,-2.7700002,-48.511387,165341.0,1382,0.18970536865234378,True,REGULAR,USD
SPY260407C00655000,2026-04-07 18:20:08+00:00,655.0,2.3,2.29,2.3,-2.7500002,-54.45545,249267.0,3689,0.1710287976074219,False,REGULAR,USD
SPY260407C00656000,2026-04-07 18:20:08+00:00,656.0,1.58,1.57,1.58,-2.8400002,-64.84018,261916.0,4881,0.15161981201171876,False,REGULAR,USD
SPY260407C00657000,2026-04-07 18:20:08+00:00,657.0,1.02,1.01,1.02,-2.65,-72.207085,256283.0,5232,0.13721565917968753,False,REGULAR,USD
SPY260407C00658000,2026-04-07 18:20:08+00:00,658.0,0.61,0.6,0.61,-2.44,-79.99999,255777.0,10092,0.12622944091796873,False,REGULAR,USD
SPY260407C00659000,2026-04-07 18:20:08+00:00,659.0,0.36,0.35,0.36,-2.1399999,-85.59999,139241.0,3772,0.1211025390625,False,REGULAR,USD
SPY260407C00660000,2026-04-07 18:19:56+00:00,660.0,0.21,0.2,0.21,-1.8,-90.0,200163.0,13872,0.1186611572265625,False,REGULAR,USD
SPY260407C00661000,2026-04-07 18:19:25+00:00,661.0,0.13,0.13,0.14,-1.45,-91.77215,60790.0,3361,0.12207909179687501,False,REGULAR,USD
SPY260407C00662000,2026-04-07 18:19:53+00:00,662.0,0.1,0.09,0.1,-1.1,-92.43697,64895.0,5999,0.1274501318359375,False,REGULAR,USD
SPY260407C00663000,2026-04-07 18:19:27+00:00,663.0,0.07,0.07,0.08,-0.84000003,-91.304344,57489.0,10482,0.13575083007812502,False,REGULAR,USD
SPY260407C00664000,2026-04-07 18:19:55+00:00,664.0,0.06,0.06,0.07,-0.6,-90.909096,39242.0,4902,0.145516357421875,False,REGULAR,USD
SPY260407C00665000,2026-04-07 18:18:11+00:00,665.0,0.06,0.05,0.06,-0.41,-89.13043,66561.0,20777,0.15430533203125002,False,REGULAR,USD
SPY260407C00666000,2026-04-07 18:18:07+00:00,666.0,0.04,0.04,0.05,-0.3,-88.2353,24532.0,5983,0.16211775390625,False,REGULAR,USD
SPY260407C00667000,2026-04-07 18:15:16+00:00,667.0,0.04,0.04,0.05,-0.19,-79.16667,27616.0,11442,0.17383638671875,False,REGULAR,USD
SPY260407C00668000,2026-04-07 18:17:01+00:00,668.0,0.04,0.03,0.04,-0.13,-76.4706,15766.0,5614,0.179695703125,False,REGULAR,USD
SPY260407C00669000,2026-04-07 18:17:06+00:00,669.0,0.03,0.02,0.03,-0.089999996,-75.0,8921.0,3513,0.18360191406249998,False,REGULAR,USD
SPY260407C00670000,2026-04-07 18:19:20+00:00,670.0,0.02,0.02,0.03,-0.07000001,-77.77779,17428.0,10764,0.195320546875,False,REGULAR,USD
SPY260407C00671000,2026-04-07 18:05:57+00:00,671.0,0.02,0.02,0.03,-0.05,-71.42857,8186.0,7448,0.20508607421874997,False,REGULAR,USD
SPY260407C00672000,2026-04-07 18:15:08+00:00,672.0,0.02,0.01,0.02,-0.030000001,-75.0,4146.0,2128,0.20508607421874997,False,REGULAR,USD
SPY260407C00673000,2026-04-07 17:50:49+00:00,673.0,0.01,0.01,0.02,-0.02,-66.66667,5092.0,2834,0.2148516015625,False,REGULAR,USD
SPY260407C00674000,2026-04-07 18:11:05+00:00,674.0,0.01,0.01,0.02,-0.02,-66.66667,2353.0,3310,0.22657023437499998,False,REGULAR,USD
SPY260407C00675000,2026-04-07 18:12:04+00:00,675.0,0.01,0.01,0.02,-0.02,-66.66667,2617.0,7399,0.23633576171874998,False,REGULAR,USD
SPY260407C00676000,2026-04-07 18:10:33+00:00,676.0,0.01,0.01,0.02,-0.01,-50.0,1102.0,4276,0.2461012890625,False,REGULAR,USD
SPY260407C00677000,2026-04-07 18:17:09+00:00,677.0,0.01,0.0,0.01,-0.01,-50.0,4663.0,1975,0.23828886718749998,False,REGULAR,USD
SPY260407C00678000,2026-04-07 18:05:02+00:00,678.0,0.01,0.0,0.01,0.0,0.0,3745.0,3008,0.2461012890625,False,REGULAR,USD
SPY260407C00679000,2026-04-07 17:00:31+00:00,679.0,0.01,0.0,0.01,0.0,0.0,1664.0,2189,0.257819921875,False,REGULAR,USD
SPY260407C00680000,2026-04-07 17:36:45+00:00,680.0,0.01,0.0,0.01,0.0,0.0,1438.0,2682,0.26563234375,False,REGULAR,USD
SPY260407C00681000,2026-04-07 16:31:08+00:00,681.0,0.01,0.0,0.01,0.0,0.0,374.0,985,0.273444765625,False,REGULAR,USD
SPY260407C00682000,2026-04-07 16:04:53+00:00,682.0,0.01,0.0,0.01,0.0,0.0,209.0,1495,0.28516339843749994,False,REGULAR,USD
SPY260407C00683000,2026-04-07 16:18:05+00:00,683.0,0.01,0.0,0.01,0.0,0.0,236.0,1532,0.29688203124999996,False,REGULAR,USD
SPY260407C00684000,2026-04-07 14:52:34+00:00,684.0,0.01,0.0,0.01,0.0,0.0,6.0,799,0.304694453125,False,REGULAR,USD
SPY260407C00685000,2026-04-07 16:03:29+00:00,685.0,0.02,0.0,0.01,0.01,100.0,21.0,1001,0.31250687499999996,False,REGULAR,USD
SPY260407C00686000,2026-04-07 14:17:41+00:00,686.0,0.01,0.0,0.01,0.0,0.0,18.0,755,0.32031929687499994,False,REGULAR,USD
